,datetime,description,icon
0,2023-12-25,Partly cloudy throughout the day.,partly-cloudy-day
1,2023-12-26,Partly cloudy throughout the day.,partly-cloudy-day
2,2023-12-27,Cloudy skies throughout the day with rain.,rain
3,2023-12-28,Partly cloudy throughout the day with rain.,rain
4,2023-12-29,Partly cloudy throughout the day with afternoon rain.,rain
5,2023-12-30,Partly cloudy throughout the day with a chance of rain.,rain
6,2023-12-31,Partly cloudy throughout the day.,partly-cloudy-day
7,2024-01-01,Partly cloudy throughout the day.,partly-cloudy-day
