,datetime,tempmin,temp,tempmax
0,2023-12-25,4.9,7.3,9.4
1,2023-12-26,3.9,6.3,8.9
2,2023-12-27,6.2,7.9,9.5
3,2023-12-28,6.7,9.0,9.5
4,2023-12-29,4.2,5.9,6.7
5,2023-12-30,-0.2,2.0,3.9
6,2023-12-31,-2.0,0.4,3.6
7,2024-01-01,-1.4,0.9,4.0
