,name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
0,"Boston, MA, United States",2023-12-25,9.4,4.9,7.3,8.0,3.9,6.3,6.4,94.1,0.0,1,0.0,,0,0.0,11.2,14.5,79.3,1030.7,64.1,13.8,68.6,6.0,3,10,2023-12-25T07:11:55,2023-12-25T16:16:45,0.45,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"KOWD,KBED,0518W,KBOS"
1,"Boston, MA, United States",2023-12-26,8.9,3.9,6.3,7.4,1.9,4.9,4.5,88.6,0.0,4,0.0,,0,0.0,16.6,11.2,228.2,1026.1,81.2,8.3,45.6,4.0,2,10,2023-12-26T07:12:16,2023-12-26T16:17:23,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
2,"Boston, MA, United States",2023-12-27,9.5,6.2,7.9,8.1,3.8,6.2,6.4,90.1,3.8,94,12.5,rain,0,0.0,17.3,11.9,174.4,1017.9,96.3,12.3,31.8,2.7,1,10,2023-12-27T07:12:35,2023-12-27T16:18:04,0.52,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,
3,"Boston, MA, United States",2023-12-28,9.5,6.7,9.0,7.5,3.5,6.6,7.6,91.2,15.2,91,33.33,rain,0,0.0,25.9,17.3,36.5,1006.2,83.3,8.1,15.9,1.4,1,10,2023-12-28T07:12:51,2023-12-28T16:18:47,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,
4,"Boston, MA, United States",2023-12-29,6.7,4.2,5.9,3.9,0.2,2.6,3.9,87.1,0.6,49,8.33,rain,0,0.0,27.0,18.4,48.7,1004.9,82.1,12.5,5.8,0.4,0,10,2023-12-29T07:13:06,2023-12-29T16:19:32,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,
5,"Boston, MA, United States",2023-12-30,3.9,-0.2,2.0,-0.2,-5.7,-3.3,-2.3,73.8,0.9,49,12.5,rain,0,2.2,44.6,29.2,328.9,1003.8,61.8,9.1,20.1,1.6,1,10,2023-12-30T07:13:18,2023-12-30T16:20:19,0.62,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain.,rain,
6,"Boston, MA, United States",2023-12-31,3.6,-2.0,0.4,-0.5,-7.2,-4.2,-5.2,66.3,0.0,20,0.0,,0,2.8,31.0,20.2,279.6,1019.0,30.1,24.1,94.0,8.2,3,10,2023-12-31T07:13:27,2023-12-31T16:21:07,0.65,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
7,"Boston, MA, United States",2024-01-01,4.0,-1.4,0.9,0.1,-6.2,-3.5,-4.1,70.1,0.0,11,0.0,,0,1.8,26.6,17.3,282.2,1020.4,45.7,24.1,83.5,7.1,2,10,2024-01-01T07:13:34,2024-01-01T16:21:58,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,
